7 5 1,2 0,2;0
7 5 1,3 3,3;1
7 5 1,3 1,2;0
7 5 1,0 2,0
7 5 1,3 0,2;0
7 5 1,0 0,0
7 5 1,2 3,2;0
7 5 1,1 1,0
7 5 1,2 1,2;0
7 5 1,1 3,1
7 5 1,3 2,3;1
7 5 1,1 2,1
7 5 1,0 1,0
7 5 1,2 2,2;0
7 5 1,1 0,0
7 5 1,0 3,0
7 6 1,2 0,2;0
7 6 1,3 3,3;1
7 6 1,3 1,2;0
7 6 1,0 2,0
7 6 1,3 0,2;0
7 6 1,0 0,0
7 6 1,2 3,2;0
7 6 1,1 1,0
7 6 1,2 1,2;0
7 6 1,1 3,1
7 6 1,3 2,3;1
7 6 1,1 2,1
7 6 1,0 1,0
7 6 1,2 2,2;0
7 6 1,1 0,0
7 6 1,0 3,0
8 5 1,2 0,2
8 5 1,3 3,3
8 5 1,3 1,3
8 5 1,0 2,3;1
8 5 1,3 0,3
8 5 1,0 0,2;0
8 5 1,2 3,3
8 5 1,1 1,3;1
8 5 1,2 1,2
8 5 1,1 3,3;1
8 5 1,3 2,3
8 5 1,1 2,3;1
8 5 1,0 1,2;0
8 5 1,2 2,3
8 5 1,1 0,3;1
8 5 1,0 3,3;1
8 6 1,2 0,2
8 6 1,3 3,3
8 6 1,3 1,3
8 6 1,0 2,3;1
8 6 1,3 0,3
8 6 1,0 0,2;0
8 6 1,2 3,3
8 6 1,1 1,3;1
8 6 1,2 1,2
8 6 1,1 3,3;1
8 6 1,3 2,3
8 6 1,1 2,3;1
8 6 1,0 1,2;0
8 6 1,2 2,3
8 6 1,1 0,3;1
8 6 1,0 3,3;1
9 5 1,2 0,2;0
9 5 1,3 3,2;0
9 5 1,3 1,3;1
9 5 1,0 2,3;1
9 5 1,3 0,3;1
9 5 1,0 0,2;0
9 5 1,2 3,3;1
9 5 1,1 1,3;1
9 5 1,2 1,2;0
9 5 1,1 3,2;0
9 5 1,3 2,2;0
9 5 1,1 2,2;0
9 5 1,0 1,2;0
9 5 1,2 2,3;1
9 5 1,1 0,3;1
9 5 1,0 3,3;1
9 6 1,2 0,2;0
9 6 1,3 3,2;0
9 6 1,3 1,3;1
9 6 1,0 2,3;1
9 6 1,3 0,3;1
9 6 1,0 0,2;0
9 6 1,2 3,3;1
9 6 1,1 1,3;1
9 6 1,2 1,2;0
9 6 1,1 3,2;0
9 6 1,3 2,2;0
9 6 1,1 2,2;0
9 6 1,0 1,2;0
9 6 1,2 2,3;1
9 6 1,1 0,3;1
9 6 1,0 3,3;1
10 5 1,2 0,2;0
10 5 1,3 3,2;0
10 5 1,3 1,3;1
10 5 1,0 2,0
10 5 1,3 0,3;1
10 5 1,0 0,0
10 5 1,2 3,2;0
10 5 1,1 1,1
10 5 1,2 1,2;0
10 5 1,1 3,0
